log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;delta_PZCpH
4.98E+00;PFPeA;9.60E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;422;;;
5.14E+00;PFHxA;1.39E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;422;;;
5.23E+00;PFHpA;1.70E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;422;;;
4.40E+00;PFBA;2.52E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;732;;;
4.88E+00;PFPeA;7.60E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;732;;;
4.98E+00;PFHxA;9.60E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;732;;;
5.11E+00;PFHpA;1.29E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;732;;;
5.07E+00;PFBS;1.17E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;732;;;
4.85E+00;PFHxS;7.01E+04;1.65;400.11;0;1;-5;0;1.52;3.3;732;;;
4.59E+00;PFBA;3.90E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;820;;;
4.61E+00;PFPeA;4.09E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;820;;;
5.32E+00;PFHxA;2.11E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;820;;;
5.95E+00;PFHpA;8.86E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;820;;;
3.39E+00;PFBA;2.46E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;900;;;
4.26E+00;PFPeA;1.80E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;900;;;
4.76E+00;PFHxA;5.80E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;900;;;
4.98E+00;PFHpA;9.60E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;900;;;
4.83E+00;PFBS;6.70E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;900;;;
4.98E+00;PFHxS;9.60E+04;1.65;400.11;0;1;-5;0;1.52;3.3;900;;;
5.04E+00;PFHxS;1.10E+05;1.65;400.11;0;1;-5;0;1.52;3.3;752;7.95;;1.05
4.59E+00;PFHxS;3.88E+04;1.65;400.11;0;1;-5;0;1.52;3.3;1000;;;
3.72E+00;PFBA;5.20E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1120;;;
4.13E+00;PFBS;1.35E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;1120;;;
4.01E+00;PFHxA;1.02E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;1120;;;
4.25E+00;PFHxS;1.77E+04;1.65;400.11;0;1;-5;0;1.52;3.3;1120;;;
4.56E+00;PFBA;3.67E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;730;;;
4.63E+00;PFBS;4.26E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;730;;;
4.68E+00;PFHxA;4.76E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;730;;;
4.64E+00;PFHxS;4.35E+04;1.65;400.11;0;1;-5;0;1.52;3.3;730;;;
4.20E+00;PFHxA;1.59E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;726;9.6;;2.7
3.85E+00;PFPeA;7.10E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;726;9.6;;2.7
4.62E+00;PFBS;4.17E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;726;9.6;;2.7
4.70E+00;PFHxS;5.01E+04;1.65;400.11;0;1;-5;0;1.52;3.3;726;9.6;;2.7
4.00E+00;PFHxA;1.00E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;726;9.5;;2.6
3.98E+00;PFBS ;9.55E+03;0.251;299.1;0;1;-3.36;0;1.17;2.26;726;9.5;;2.6
4.06E+00;PFHxS;1.15E+04;1.65;400.11;0;1;-5;0;1.52;3.3;726;9.5;;2.6
4.03E+00;PFHxA;1.07E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;1050;;;
5.30E+00;PFHxS;2.00E+05;1.65;400.11;0;1;-5;0;1.52;3.3;1050;;;
4.59E+00;PFHxA;3.89E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;1050;;;
4.45E+00;GenX;2.82E+04;0.47;330.05;0;1;-4.82;0;1.28;2.075;1050;;2.45;
4.48E+00;PFHxA;3.00E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;820;;;
4.17E+00;GenX;1.50E+04;0.47;330.05;0;1;-4.82;0;1.28;2.075;820;;;
3.92E+00;Trifluoromethanesulfonic acid;8.30E+03;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1030;8.1;1.8;1.2
4.24E+00;PFBA;1.73E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1260;6.3;3.9;-0.6
5.12E+00;PFBS;1.32E+05;0.251;299.1;0;1;-3.36;0;1.171;2.26;1260;6.3;3.9;-0.6
4.52E+00;PFBA;3.31E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1255;9.5;1.4;2.6
5.27E+00;PFBS;1.86E+05;0.251;299.1;0;1;-3.36;0;1.171;2.26;1255;9.5;1.4;2.6
2.26E+00;PFBA;1.82E+02;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1200;2.7;9.2;-4.2
3.48E+00;PFBS;3.05E+03;0.251;299.1;0;1;-3.36;0;1.171;2.26;1200;2.7;9.2;-4.2
2.34E+00;PFBA;2.20E+02;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1100;5.9;13.7;-1
2.61E+00;PFBA;4.10E+02;-1.22;214.039;0;1;-2.82;0;0.871;1.81;720;7.3;7.9;0.4
4.28E+00;PFBA;1.90E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1000;9.3;1.1;2.4
4.10E+00;PFPeA;1.26E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;262;;;
5.35E+00;PFHxA;2.23E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;659;;;
