log Kd (L/kg),log D (L/kg),molecular weight (g/mol),positive charges,negative charges,Log S (mol/L) at pH 7,number of aromatic rings,molecular volume  (cm3/mol/100),estimated log KOC  (L/kg),surface area (m2/g),O wt%,delta_PZCpH,PZC
5.290034611362518,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1064.0,8.8,1.799999999999999,8.7
4.450249108319361,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1064.0,8.8,1.799999999999999,8.7
4.017033339298781,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1064.0,8.8,1.799999999999999,8.7
5.624282095835668,0.18,314.05,0,1,-4.59,0,1.22,2.45,1086.0,9.3,1.0,7.9
5.230448921378274,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1086.0,9.3,1.0,7.9
4.278753600952829,-0.54,264.05,0,1,-3.72,0,1.05,2.43,1086.0,9.3,1.0,7.9
3.785329835010767,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1086.0,9.3,1.0,7.9
5.3354348335711,0.18,314.05,0,1,-4.59,0,1.22,2.45,955.0,16.3,-3.0000000000000004,3.9
4.376576957056512,0.251,299.1,0,1,-3.36,0,1.1711,2.26,955.0,16.3,-3.0000000000000004,3.9
4.60959440922522,-0.54,264.05,0,1,-3.72,0,1.05,2.43,955.0,16.3,-3.0000000000000004,3.9
3.791690649020118,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,955.0,16.3,-3.0000000000000004,3.9
4.984347257585864,0.88,364.06,0,1,-5.42,0,1.4,3.77,900.0,,0.0999999999999996,7.0
4.556965499896942,0.251,299.1,0,1,-3.36,0,1.1711,2.26,900.0,,0.0999999999999996,7.0
5.203413680096452,1.65,400.11,0,1,-5.0,0,1.52,3.3,900.0,,0.0999999999999996,7.0
3.2227164711475837,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,950.0,,0.0999999999999996,7.0
3.351409751925439,-0.54,264.05,0,1,-3.72,0,1.05,2.43,950.0,,0.0999999999999996,7.0
3.361727836017593,0.18,314.05,0,1,-4.59,0,1.22,2.45,950.0,,0.0999999999999996,7.0
3.4490153163477864,0.88,364.06,0,1,-5.42,0,1.4,3.77,950.0,,0.0999999999999996,7.0
3.3100557377508912,0.251,299.1,0,1,-3.36,0,1.1711,2.26,950.0,,0.0999999999999996,7.0
3.504742636271688,0.95,350.11,0,1,-4.2,0,1.35,3.01,950.0,,0.0999999999999996,7.0
3.5765716840652906,1.65,400.11,0,1,-5.0,0,1.52,3.3,950.0,,0.0999999999999996,7.0
3.430075055551939,-0.54,264.05,0,1,-3.72,0,1.05,2.43,950.0,,0.0999999999999996,7.0
3.3914644118391037,1.11,299.11,0,1,-0.08,0,1.68,2.95,950.0,,0.0999999999999996,7.0
5.041392685158225,1.65,400.11,0,1,-5.0,0,1.52,3.3,759.0,,,
6.013427127070696,0.88,364.06,0,1,-5.42,0,1.4,3.77,262.0,,,
4.6699673699085045,0.88,364.06,0,1,-5.42,0,1.4,3.77,171.0,,,
4.439995473953808,0.88,364.06,0,1,-5.42,0,1.4,3.77,944.0,,,
4.800029359244134,0.18,314.05,0,1,-4.59,0,1.22,2.45,262.0,,,
3.345177616542704,0.18,314.05,0,1,-4.59,0,1.22,2.45,171.0,,,
5.16387665564692,0.251,299.1,0,1,-3.36,0,1.1711,2.26,964.0,,1.0999999999999996,8.0
6.5888488507863885,1.65,400.11,0,1,-5.0,0,1.52,3.3,964.0,,1.0999999999999996,8.0
5.715284492777919,-0.54,264.05,0,1,-3.72,0,1.05,2.43,964.0,,1.0999999999999996,8.0
